"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.10.2024","59.075,7","60.628,9","61.304,6","59.075,7","78,61K","-2,56%"
"09.10.2024","60.628,8","62.157,0","62.537,0","60.355,5","68,79K","-2,46%"
"08.10.2024","62.157,0","62.226,9","63.196,6","61.883,2","63,75K","-0,14%"
"07.10.2024","62.245,6","62.819,8","64.449,3","62.175,8","86,27K","-0,91%"
"06.10.2024","62.819,4","62.062,0","62.934,5","61.495,4","31,72K","1,22%"
"05.10.2024","62.061,4","62.085,5","62.366,8","61.705,7","30,15K","-0,03%"
"04.10.2024","62.081,0","60.751,4","62.471,7","60.469,3","72,71K","2,19%"
"03.10.2024","60.751,2","60.642,0","61.468,9","59.904,4","82,43K","0,17%"
"02.10.2024","60.645,7","60.834,2","62.339,8","60.002,7","98,94K","-0,31%"
"01.10.2024","60.835,5","63.329,9","64.125,3","60.195,9","134,93K","-3,95%"
"30.09.2024","63.339,2","65.607,0","65.607,0","62.901,1","101,70K","-3,46%"
"29.09.2024","65.607,1","65.862,8","66.065,7","65.436,8","32,60K","-0,39%"
"28.09.2024","65.866,5","65.775,6","66.232,5","65.438,1","35,00K","0,14%"
"27.09.2024","65.776,3","65.168,8","66.440,7","64.839,2","80,55K","0,92%"
"26.09.2024","65.175,7","63.157,2","65.770,9","62.693,3","96,06K","3,20%"
"25.09.2024","63.156,5","64.262,9","64.788,4","62.952,8","62,72K","-1,71%"
"24.09.2024","64.256,8","63.335,9","64.664,1","62.740,8","76,71K","1,46%"
"23.09.2024","63.331,8","63.575,4","64.723,4","62.650,0","75,66K","-0,38%"
"22.09.2024","63.572,7","63.351,2","63.998,2","62.394,6","48,86K","0,35%"
"21.09.2024","63.348,1","63.201,2","63.526,3","62.778,6","33,20K","0,23%"
"20.09.2024","63.201,2","62.942,4","64.085,1","62.367,1","90,65K","0,42%"
"19.09.2024","62.938,6","61.754,8","63.849,6","61.596,5","120,17K","1,91%"
"18.09.2024","61.757,6","60.308,5","61.757,6","59.210,7","105,57K","2,40%"
"17.09.2024","60.309,1","58.213,1","61.309,0","57.630,2","106,30K","3,60%"
"16.09.2024","58.213,1","59.126,2","59.204,3","57.527,8","87,60K","-1,56%"
"15.09.2024","59.138,5","59.995,6","60.377,6","58.717,9","47,01K","-1,43%"
"14.09.2024","59.995,4","60.514,8","60.609,4","59.494,3","44,47K","-0,85%"
"13.09.2024","60.511,6","58.134,4","60.625,4","57.656,8","102,12K","4,09%"
"12.09.2024","58.134,5","57.335,5","58.484,1","57.329,6","98,42K","1,39%"
"11.09.2024","57.338,7","57.638,0","57.975,9","55.576,6","102,15K","-0,51%"
"10.09.2024","57.635,0","57.045,6","58.019,9","56.415,3","77,65K","1,03%"
"09.09.2024","57.049,6","54.868,0","57.956,7","54.595,4","105,33K","3,99%"